SH 1N,2958
SH 2,1975
HIGH ST,372
FERGUSSON DRIVE,317
SH 58,268
TITAHI BAY ROAD,223
HUTT ROAD,213
ADELAIDE ROAD,199
MAIN ROAD,191
TARANAKI ST,177
WILLIS ST,169
KAPITI ROAD,165
WAINUIOMATA HILL ROAD,156
QUEENS DRIVE,151
RIDDIFORD ST,149
VICTORIA ST,147
THE ESPLANADE,141
CAMBRIDGE TERRACE,140
EASTERN HUTT ROAD,139
WARSPITE AVENUE,126
PAEKAKARIKI HILL ROAD,125
MUNGAVIN AVENUE,120
THE TERRACE,119
DIXON ST,116
COURTENAY PLACE,112
WAIWHETU ROAD,105
ORIENTAL PARADE,101
WAKEFIELD ST,99
KARORI ROAD,99
QUEEN ST,97
TINAKORI ROAD,96
JACKSON ST,95
CUBA ST,92
TORY ST,88
SH 2 WESTERN HUTT ROAD,87
EVANS BAY PARADE,82
WATERLOO ROAD,81
AKATARAWA ROAD,81
JOHNSONVILLE ROAD,78
WATERLOO QUAY,74
KENEPURU DRIVE,74
GHUZNEE ST,73
JERVOIS QUAY,73
STOKES VALLEY ROAD,73
OHIRO ROAD,72
THORNDON QUAY,69
WALLACE ST,68
NEWLANDS ROAD,66
MASTERTON-CASTLEPOINT ROA,65
MOOREFIELD ROAD,64
RANDWICK ROAD,62
RIMU ROAD,62
NAENAE ROAD,61
CUSTOMHOUSE QUAY,59
RAILWAY AVENUE,58
LAMBTON QUAY,56
CABLE ST,56
CONSTABLE ST,56
BROOKLYN ROAD,55
MIDDLETON ROAD,55
RUTHERFORD ST,55
FEATHERSTON ST,54
MARINE DRIVE,54
WOBURN ROAD,54
WELLINGTON ROAD,53
WHITES LINE EAST,53
GRAYS ROAD,53
KINGS CRESCENT,52
SH 53,49
CHAMPION ST,49
WAINUIOMATA ROAD,48
TAITA DRIVE,47
THE PARADE,46
OXFORD TERRACE,46
MAIN ST,46
WAIONE ST,45
DOWSE DRIVE,45
SH 2 HUTT ROAD,43
LYTTELTON AVENUE,43
MIRAMAR AVENUE,42
SEAVIEW ROAD,42
BUNNY ST,41
GIBBONS ST,41
GLENMORE ST,41
BOWEN ST,41
KNIGHTS ROAD,40
KENT TERRACE,40
TE MOANA ROAD,40
SH 1N MANA ESPLANADE,39
RONGOTAI ROAD,39
GEORGE ST,39
BROADWAY,39
RINTOUL ST,39
AOTEA QUAY,39
COLOMBO ROAD,38
TAKAPU ROAD,38
MOLESWORTH ST,38
COAST ROAD,37
COUTTS ST,37
SH 58 HAYWARDS HILL ROAD,36
CRAWFORD ROAD,36
WHITFORD BROWN AVENUE,35
CORNWALL ST,35
WEBB ST,35
TE ORE ORE ROAD,35
LAKE FERRY ROAD,33
PARUMOANA ST,33
JOHN ST,33
PARKWAY,33
WHITMORE ST,33
KAIWHARAWHARA ROAD,33
ONEPU ROAD,33
SH 2 RIVER ROAD,32
NGAUMUTAWA ROAD,32
MARINE PARADE,31
MAZENGARB ROAD,31
BLOOMFIELD TERRACE,31
MELLING LINK,30
DAYSH ST,30
MEIN ST,30
SH 1N VIVIAN ST,29
PHARAZYN ST,29
KELBURN PARADE,29
BLUE MOUNTAINS ROAD,29
ARO ST,29
CHAYTOR ST,29
FAIRWAY DRIVE,29
MAKARA ROAD,28
UPLAND ROAD,28
BRODERICK ROAD,28
RENALL ST,27
BAY ROAD,27
PARK ROAD,27
MANNERS ST,27
HARCOURT WERRY DRIVE,26
BIDWILLS CUTTING ROAD,26
BEDFORD ST,26
